Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-4.2558E-06,1.1226E-05,-0.2159,0,0,0,1.9086,0.016242,4.5627E-05,-4.7038E-11,0.016844,-1.7865E-11,0.0050227,0,0,0,0,0,0,package://proto_type_3/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://proto_type_3/meshes/base_link.STL,,thruster_mount_whole-1;thruster_mount_whole-2;pressure_vessel-1;board_assembly-1;board_assembly-2,座標系9,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
t1,-0.014292,-0.0143,0.017717,0,0,0,0.099392,7.9154E-05,6.1395E-08,-3.7817E-06,7.9136E-05,-3.804E-06,7.672E-05,0,0,0,0,0,0,package://proto_type_3/meshes/t1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://proto_type_3/meshes/t1.STL,,CFMX141-2,座標系1,thruster_0,l1,fixed,0.10964,0.096917,-0.39159,0,0,0,base_link,0,0,0,0,0,-20,20,,,,,,,,
thrust1,3.3307E-15,3.525E-15,-0.001,0,0,0,0.0028342,6.5251E-07,-1.0853E-21,1.8529E-22,6.5251E-07,-3.7058E-22,1.3031E-06,0,0,0,0,0,0,package://proto_type_3/meshes/thrust1.STL,1,1,1,1,0,0,0,0,0,0,package://proto_type_3/meshes/thrust1.STL,,propeller-15,座標系33,thruster_0,rotor1,continuous,0,0,0,-2.4569,-0.42053,-0.32175,t1,0,0,-1,,,,,,,,,,,,
t2,0.0143,-0.014292,0.017717,0,0,0,0.099392,7.9136E-05,-6.1395E-08,3.804E-06,7.9154E-05,-3.7817E-06,7.672E-05,0,0,0,0,0,0,package://proto_type_3/meshes/t2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://proto_type_3/meshes/t2.STL,,CFMX141-1,座標系2,thruster_1,l2,fixed,-0.10964,0.096917,-0.39159,0,0,0,base_link,0,0,0,0,0,-20,20,,,,,,,,
thrust2,2.2204E-16,8.3267E-17,0.001,0,0,0,0.0028342,6.5251E-07,-3.5867E-21,-2.647E-22,6.5251E-07,-1.3235E-22,1.3031E-06,0,0,0,0,0,0,package://proto_type_3/meshes/thrust2.STL,1,1,1,1,0,0,0,0,0,0,package://proto_type_3/meshes/thrust2.STL,,propeller-10,座標系34,thruster_1,rotor2,continuous,0,0,0,0.68472,0.42053,0.32175,t2,0,0,1,,,,,,,,,,,,
t3,-0.0143,0.014292,0.017717,0,0,0,0.099392,7.9136E-05,-6.1395E-08,-3.804E-06,7.9154E-05,3.7817E-06,7.672E-05,0,0,0,0,0,0,package://proto_type_3/meshes/t3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://proto_type_3/meshes/t3.STL,,CFMX141-3,座標系3,thruster_2,l3,fixed,0.10964,-0.096917,-0.39159,0,0,0,base_link,0,0,0,0,0,-20,20,,,,,,,,
thrust3,-2.22044604925031E-16,4.9960036108132E-16,0.00100000000000011,0,0,0,0.00283424938765202,6.52506444943004E-07,5.12190235292835E-21,6.35274710440725E-22,6.52506444943007E-07,-2.64697796016969E-23,1.30312339029424E-06,0,0,0,0,0,0,package://proto_type_3/meshes/thrust3.STL,1,1,1,1,0,0,0,0,0,0,package://proto_type_3/meshes/thrust3.STL,,propeller-13,座標系35,thruster_2,rotor3,continuous,0,0,0,-0.68472,-0.42053,0.32175,t3,0,0,1,,,,,,,,,,,,
t4,0.014292,0.0143,0.017717,0,0,0,0.099392,7.9154E-05,6.1395E-08,3.7817E-06,7.9136E-05,3.804E-06,7.672E-05,0,0,0,0,0,0,package://proto_type_3/meshes/t4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://proto_type_3/meshes/t4.STL,,CFMX141-4,座標系4,thruster_3,l4,fixed,-0.10964,-0.096917,-0.39159,0,0,0,base_link,0,0,0,0,0,-20,20,,,,,,,,
thrust4,-3.33066907387547E-16,-2.4008572907519E-15,0.000999999999999834,0,0,0,0.00283424938765202,6.52506444943007E-07,1.87935435172048E-21,-1.19114008207636E-22,6.52506444943005E-07,3.97046694025453E-22,1.30312339029424E-06,0,0,0,0,0,0,package://proto_type_3/meshes/thrust4.STL,1,1,1,1,0,0,0,0,0,0,package://proto_type_3/meshes/thrust4.STL,,propeller-11,座標系36,thruster_3,rotor4,continuous,0,0,0,-0.68472,0.42053,-0.32175,t4,0,0,-1,,,,,,,,,,,,
t5,0.014292,-0.0143,-0.017717,0,0,0,0.099392,7.9154E-05,-6.1395E-08,-3.7817E-06,7.9136E-05,3.804E-06,7.672E-05,0,0,0,0,0,0,package://proto_type_3/meshes/t5.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://proto_type_3/meshes/t5.STL,,CFMX141-8,座標系5,thruster_4,l5,fixed,-0.109644792462478,0.0969168703997903,-0.0402142442010311,0,0,0,base_link,0.5,-0.5,-0.70711,0,0,-20,20,,,,,,,,
thrust5,-0.00474617123368337,-0.0223091296716738,0.227501647115212,0,0,0,2.75810144289339,0.0647956527012888,-0.0133985854936072,0.0154791421456142,0.0569681426527673,0.0230360087560227,0.0470182847085951,0,0,0,0,0,0,,1,1,1,1,0,0,0,0,0,0,,,,座標系37,thruster_4,rotor5,continuous,0,0,0,2.4569,-0.42053,0.32175,t5,0,0,-1,,,,,,,,,,,,
t6,-0.0143000152087087,-0.0142922441739046,-0.0177167300533436,0,0,0,0.0993924873705024,7.91363117744376E-05,6.13947103617769E-08,3.80401853538391E-06,7.91541243411415E-05,3.78172056208575E-06,7.67197078219357E-05,0,0,0,0,0,0,package://proto_type_3/meshes/t6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://proto_type_3/meshes/t6.STL,,CFMX141-7,座標系6,thruster_5,l6,fixed,0.10964,0.096917,-0.040214,0,0,0,base_link,0,0,0,0,0,-20,20,,,,,,,,
thrust6,4.05231403988182E-14,2.86715096109447E-14,0.0010000000000413,0,0,0,0.00283424938765202,6.52506444942999E-07,-6.07481441858944E-21,-1.98523347012727E-22,6.52506444943014E-07,-2.38228016415272E-22,1.30312339029425E-06,0,0,0,0,0,0,package://proto_type_3/meshes/thrust6.STL,1,1,1,1,0,0,0,0,0,0,package://proto_type_3/meshes/thrust6.STL,,propeller-12,座標系38,thruster_5,rotor6,continuous,0,0,0,2.4569,0.42053,-0.32175,t6,0,0,1,,,,,,,,,,,,
t7,0.204997340751786,0.0143000152101347,-0.0177167300564932,0,0,0,0.0993924873705016,7.91541243411232E-05,-6.13947103569633E-08,3.78172056208173E-06,7.91363117744202E-05,-3.80401853537825E-06,7.67197078219122E-05,0,0,0,0,0,0,package://proto_type_3/meshes/t7.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://proto_type_3/meshes/t7.STL,,CFMX141-5,座標系7,thruster_6,l7,fixed,-0.10964,-0.096917,-0.040214,0,0,0,base_link,0,0,0,0,0,-20,20,,,,,,,,
thrust7,0.189044325927537,-1.16573417585641E-14,0.110144792463057,0,0,0,0.00283424938765199,1.14046915395644E-06,-2.35978085149128E-20,-2.81725401403391E-07,6.52506444942998E-07,5.05572790392411E-21,8.15160681280793E-07,0,0,0,0,0,0,package://proto_type_3/meshes/thrust7.STL,1,1,1,1,0,0,0,0,0,0,package://proto_type_3/meshes/thrust7.STL,,propeller-16,座標系39,thruster_6,rotor7,continuous,0,0,0,-2.4569,-0.42053,-0.32175,t7,0,0,-1,,,,,,,,,,,,
t8,-0.20498956971677,0.0142922441793721,-0.0177167300578815,0,0,0,0.0993924873705009,7.91363117743876E-05,6.13947103530806E-08,-3.80401853537279E-06,7.91541243410908E-05,-3.78172056207681E-06,7.67197078218827E-05,0,0,0,0,0,0,package://proto_type_3/meshes/t8.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://proto_type_3/meshes/t8.STL,,CFMX141-6,座標系8,thruster_7,l8,fixed,0.10964,-0.096917,-0.040214,0,0,0,base_link,0,0,0,0,0,-20,20,,,,,,,,
